#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
160,Andrew Toney,72,2146,1254,485,1015,47.8,12,51,23.5,272,346,78.6,56,112,168,323,58,18,257,48.4,53.7
161,Bob Lanier,67,2361,1244,508,955,53.2,0,1,0,228,297,76.8,179,466,645,235,62,99,105,53.2,57.3
162,Latrell Sprewell,62,2548,1223,446,1067,41.8,62,188,33,269,335,80.3,51,218,269,211,73,27,171,44.7,50.4
163,Bill Bradley,95,3161,1222,510,1165,43.8,-,-,-,202,251,80.5,12,25,333,263,9,3,-,43.8,47.9
164,Allan Houston,63,2525,1214,435,970,44.8,76,181,42,268,303,88.4,19,165,184,139,43,10,163,48.8,55
165,Buck Williams,108,3710,1211,436,839,52,1,2,50,338,503,67.2,351,590,941,113,90,70,190,52,57.1
166,Fred Brown,83,1900,1197,499,1082,46.1,13,42,31,186,227,81.9,72,124,196,193,74,8,82,46.7,50.6
167,JJ Redick,110,2909,1196,405,953,42.5,189,509,37.1,197,224,87.9,16,156,172,178,54,12,137,52.4,56.9
168,Jim McMillian,72,2722,1194,497,1101,45.1,-,-,-,200,253,79.1,54,91,377,137,36,7,7,45.1,49.2
169,Rashard Lewis,93,2829,1192,417,956,43.6,138,388,35.6,220,269,81.8,100,333,433,163,69,42,137,50.8,55.5
170,Paul Arizin,49,1815,1186,411,1001,41.1,-,-,-,364,439,82.9,-,-,404,128,-,-,-,41.1,49.7
171,Bill Bridges,113,3521,1185,475,1135,41.9,-,-,-,235,349,67.3,27,52,1305,219,16,4,-,41.9,46
171,Mark Jackson,131,3776,1185,438,1013,43.2,97,281,34.5,212,273,77.7,113,364,477,905,131,8,292,48,52.3
173,Metta World Peace,85,3135,1180,431,1108,38.9,128,415,30.8,190,266,71.4,120,288,408,234,131,56,141,44.7,48.2
174,Derrick McKey,142,3786,1176,436,939,46.4,39,129,30.2,265,356,74.4,229,397,626,319,111,88,225,48.5,53.7
175,Eddie Johnson,89,2114,1168,452,1054,42.9,67,216,31,197,228,86.4,113,199,312,102,46,13,98,46.1,50.6
176,Danny Green,144,3688,1165,413,1024,40.3,266,688,38.7,73,97,75.3,94,377,471,167,153,111,123,53.3,54.6
177,Marques Johnson,54,2112,1163,471,964,48.9,3,13,23.1,218,311,70.1,173,254,427,198,56,45,111,49,52.8
178,Maurice Lucas,82,2426,1159,472,975,48.4,0,1,0,215,289,74.4,180,510,690,225,71,46,107,48.4,52.6
179,Kyle Korver,145,3371,1156,387,927,41.7,254,649,39.1,128,143,89.5,28,332,360,152,81,56,119,55.4,58.4
180,Zach Randolph,70,2450,1155,439,1005,43.7,4,26,15.4,273,364,75,224,426,650,120,51,26,129,43.9,49.6
181,Thomas Sanders,130,3039,1142,465,1066,43.6,-,-,-,212,296,71.6,-,-,760,127,-,-,-,43.6,47.7
182,Vern Mikkelsen,85,2103,1141,396,999,39.6,-,-,-,349,446,78.3,-,-,585,152,-,-,-,39.6,47.7
183,Mychal Thompson,104,2708,1132,449,897,50.1,0,0,0,234,361,64.8,224,403,627,126,56,106,156,50.1,53.6
184,Archie Clark,71,2387,1125,444,977,45.4,-,-,-,237,307,77.2,12,54,229,297,17,1,-,45.4,50.6
185,Jermaine O'Neal,97,2577,1124,413,970,42.6,0,16,0,298,415,71.8,156,475,631,99,35,167,161,42.6,48.8
185,Paul Silas,163,4619,1124,396,998,39.7,0,0,0,332,480,69.2,339,628,1527,335,81,34,73,39.7,46.5
187,Blake Griffin,53,1870,1122,433,883,49,13,36,36.1,243,333,73,114,334,448,213,57,46,135,49.8,54.5
188,Sean Elliott,85,2836,1118,384,862,44.5,73,205,35.6,277,346,80.1,80,261,341,207,59,37,147,48.8,55.1
189,Cedric Maxwell,102,2731,1116,375,688,54.5,0,2,0,366,471,77.7,233,320,553,194,74,50,172,54.5,62.3
190,Rolando Blackman,69,2137,1110,434,897,48.4,9,31,29,233,268,86.9,78,122,200,217,42,14,126,48.9,54.7
191,Tracy McGrady,50,1724,1109,397,933,42.6,56,193,29,259,342,75.7,63,223,286,249,53,47,134,45.6,51.2
192,Bill Cartwright,124,3496,1100,417,866,48.2,0,0,0,266,367,72.5,207,461,668,162,54,57,192,48.2,53.5
193,Boris Diaw,119,3144,1097,448,889,50.4,48,143,33.6,153,208,73.6,145,375,520,382,72,52,181,53.1,55.9
194,Derek Harper,97,3094,1094,415,925,44.9,96,263,36.5,168,236,71.2,56,177,233,513,148,11,167,50.1,53.2
195,Kiki Vandeweghe,68,1890,1093,419,822,51,20,58,34.5,235,259,90.7,53,135,188,134,39,27,89,52.2,58.4
196,Phil Chenier,60,2088,1088,438,974,45,-,-,-,212,251,84.5,41,152,230,131,59,26,6,45,50.2
197,Jeff Mullins,83,2255,1084,462,1030,44.9,-,-,-,160,213,75.1,19,20,304,259,12,2,-,44.9,48.2
198,Dennis Rodman,169,4789,1081,442,902,49,7,47,14.9,190,352,54,626,1050,1676,205,106,97,258,49.4,51.1
199,Alvan Adams,78,2288,1076,440,930,47.3,0,0,0,196,256,76.6,169,419,588,320,88,71,154,47.3,51.6
199,Bob Love,47,2061,1076,441,1023,43.1,-,-,-,194,250,77.6,58,103,352,87,24,10,-,43.1,47.5
